person_id,name,birth_date,death_date,birth_month,birth_day,death_month,death_day,age_at_death_days,age_at_death_years,gender,occupation,birthday_distance,decade
Q19725535,E.W.A Pangalila,1934-04-26,1967-02-16,4,26,2,16,11984,32.8,,,-69,1960.0
Q19745582,Paulus Pieter Bijlaard,1898-12-02,1967-03-09,12,2,3,9,24933,68.3,male,,97,1960.0
Q24284631,Muhammad Mansur,1878-12-31,1967-05-12,12,31,5,12,32273,88.4,male,,132,1960.0
Q12500203,Nawawi Ichsan,1900-12-31,1967-06-08,12,31,6,8,24265,66.4,male,,159,1960.0
Q95694486,Zainal Abidin Alting,1912-08-05,1967-07-04,8,5,7,4,20056,54.9,male,,-32,1960.0
Q17411755,Zainudin Fananie,1908-12-23,1967-07-21,12,23,7,21,21394,58.6,male,,-155,1960.0
Q12518263,Suwiryo,1903-02-17,1967-08-27,2,17,8,27,23567,64.5,male,,-174,1960.0
Q123507755,Husin Qadri,1909-10-01,1967-09-01,10,1,9,1,21154,57.9,male,,-30,1960.0
Q12470441,A.Z.R. Wenas,1897-10-28,1967-10-12,10,28,10,12,25550,70.0,male,,-16,1960.0
Q12485365,Harun Al-Rasyid Sutan Bandaro,1911-06-23,1967-11-17,6,23,11,17,20601,56.4,male,,147,1960.0
Q2208716,Sanusi Pane,1905-11-14,1968-01-02,11,14,1,2,22694,62.1,male,,48,1960.0
Q4251141,Marah Roesli,1889-08-07,1968-01-17,8,7,1,17,28651,78.4,male,,162,1960.0
Q25469113,Aminah Sjoekoer,1901-02-20,1968-03-03,2,20,3,3,24483,67.0,female,,12,1960.0
Q3658038,Jan Engelbert Tatengkeng,1907-10-19,1968-03-06,10,19,3,6,22054,60.4,male,,138,1960.0
Q130326187,Sjamsuddin Mangan,1924-03-22,1968-04-13,3,22,4,13,16093,44.1,male,,22,1960.0
Q105984371,Siti Sunaryati Sukemi,1907-12-25,1968-05-15,12,25,5,15,22057,60.4,female,,141,1960.0
Q19728929,Mas Pardi,1901-10-01,1968-08-13,10,1,8,13,24423,66.9,male,,-49,1960.0
Q12511364,Saadah Alim,1897-06-09,1968-08-18,6,9,8,18,26002,71.2,female,,70,1960.0
Q5431566,Fakih Usman,1904-03-02,1968-10-03,3,2,10,3,23591,64.6,male,,-150,1960.0
Q11217338,Gatot Mangkoepradja,1898-12-25,1968-10-04,12,25,10,4,25485,69.8,male,,-82,1960.0
Q12485034,Ali bin Abdurrahman al-Habsyi,1870-04-20,1968-10-13,4,20,10,13,35970,98.5,male,,176,1960.0
Q9333940,Sartono,1900-08-05,1968-10-15,8,5,10,15,24908,68.2,male,,71,1960.0
Q12485371,Harun Thohir,1947-04-04,1968-10-17,4,4,10,17,7867,21.5,male,,-169,1960.0
Q4201209,Usman Janatin,1943-03-18,1968-10-17,3,18,10,17,9345,25.6,male,,-152,1960.0
Q4667741,Abikusno Tjokrosujono,1897-06-15,1968-11-11,6,15,11,11,26081,71.4,male,,149,1960.0
Q12524535,Wilfridus Josephus Sabarija Poerwadarminta,1904-09-12,1968-11-28,9,12,11,28,23453,64.2,male,,77,1960.0
Q12507523,Raden Ajeng Srimulat,1905-05-07,1968-12-01,5,7,12,1,23219,63.6,female,,-157,1960.0
Q4264085,Adnan Kapau Gani,1905-09-16,1968-12-23,9,16,12,23,23109,63.3,male,,98,1960.0
Q12521727,Tjan Tjoe Som,1903-02-15,1969-01-02,2,15,1,2,24063,65.9,male,,-44,1960.0
Q4202242,Basuki Rahmat,1921-11-04,1969-01-08,11,4,1,8,17232,47.2,male,,65,1960.0
Q13257554,Rahmah El Yunusiyyah,1900-10-26,1969-02-26,10,26,2,26,24960,68.3,female,,123,1960.0
